repository,state,closed_at,title,label,is_bug,body
greenaddress/GreenBits,closed,2018-05-26 19:07:00,Add support for sending to BIP173 addresses,[],0,"[BIP173](https://github.com/bitcoin/bips/blob/master/bip-0173.mediawiki) (""bech32"") enables native segwit transactions on the Bitcoin network. Using it will allow for smaller on-chain transactions. For bech32-addresses to gain adoption, wallet support is needed.

Please add support for sending to BIP173 addresses."
greenaddress/GreenBits,closed,2018-07-24 10:17:23,Cannot connect via tor,[],0,"I get the following error message:
""Tor Conectivity Disabled! You need to enable the proxy configuration (Orbot Socks5) first to enable Tor.""

But Orbot is already running and Orfox which uses Socks5 to connect via Tor does also work. So why can I not add a bitcoin node via tor?"
greenaddress/GreenBits,closed,2018-11-26 10:53:16,Ask user to unlock the the hardware wallet when a hardware wallet is detected as locked/pin protected after lock timeout,[],0,Ask user to unlock the the hardware wallet when a hardware wallet is detected as locked/pin protected after lock timeout
greenaddress/GreenBits,closed,2017-10-17 10:00:54,Allow network settings to be changed without a logged in service,[],0,Fixes issue #289 
greenaddress/GreenBits,closed,2017-10-17 09:54:07,"Network Configuration does not open, throws error",[],0,"Steps to reproduce:

1. starting from the ""Welcome to Greenbits"" screen, press the vertical ... menu button
2. select ""Network Configuration""
3. select ""(i) Network configuration"" from the menu

This results in the following error:

> Unable to contact the GreenAddress service. Please check your network connection and wait to be reconnected.

and returns to the welcome screen

I experienced this with android 7, upgraded to 8, and am still experiencing this.

Version 2.02, installed from play store

Update to add: downgrading to 1.99 from f-droid worked around this issue for me"
greenaddress/GreenBits,closed,2018-11-26 10:54:47,Display satoshis per byte not only in custom,[],0,"The priority selection allows high, normal, low, economy, custom and instant.
Except for custom which shows you the satoshis per virtual byte, the selections are vague into what they mean exactly. Even if only custom allows the user to edit the satoshis per vbyte, it could at least show it. That way the user could rapidly get an idea of what each of them mean in terms of sat/vbyte just by going through them before sending

Actually, custom uses satoshis/kbyte. perhaps satoshis per byte would be better.
"
greenaddress/GreenBits,open,,Display error message when hardware wallet fails to sign a transaction,[],0,"Some hardware wallets like the Ledger Unplugged and the Fidesmo Yubikey use NFC to sign transactions. When the user taps Review & Send, the transaction data is sent over NFC to the hardware wallet for signing. Due to the nature and short range of the NFC link, this process is prone to failure.  

As of GreenBits 2.02, there seems to be no feedback to inform the user when the signing goes wrong. It does not tell the user when to tap the wallet on the NFC reader, either. All the user can do is wait on the Send tab, and log out/close/restart the app to try again if it seems to be stuck.  

GreenBits should at least display an error message in that case, and ideally allow the user to retry the operation, prompting to tap the wallet and asking for the PIN again if needed."
greenaddress/GreenBits,closed,2018-11-26 10:55:29,Display info message when disabling SegWit is not possible,[],0,"Once a SegWit address has been generated for a given wallet, it is no longer possible to disable SegWit for that wallet.

If the user tries to disable SegWit in such a case, GreenBits simply does nothing.
GreenBits should probably display a toast to inform the user of the reason that SegWit cannot be disabled, just like the web and Chrome versions of GreenAddress already do."
greenaddress/GreenBits,closed,2017-09-19 09:38:43,Fix the version detection for Trezor,[],0,
greenaddress/GreenBits,closed,2017-09-18 20:22:10,Trezor fixes,[],0,"This patchset updates Trezor signing, fixing pre-segwit, segwit and mixed inputs, as well as correctly identifying and marking segwit change addresses. It also adds support for anti-fee sniping, makes signing faster by avoiding some roundtrips, and fixes a bug with changeless transactions in 2of3 subaccounts.

Includes updates to our protobuf code bringing it to the latest treazor-lib version as of submitting.

There are a number of code cleanups along the way in order to ease the implementation and testing, the end result should be easier to maintain going forward."
